dataset,method,data_ratio,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,train_time_mean,train_time_std,inference_time_mean,throughput_mean
ag_news,TF-IDF + LR,0.01,0.835701754385965,0.0046265173698173,0.8345958650493266,0.0047360117116759,0.1750168800354003,0.0455113689453183,0.4626102447509765,20333.73592236603
ag_news,TF-IDF + LR,0.05,0.8828070175438597,0.0033606338165772,0.8823818907589053,0.0033372922685976,2.064378341039022,0.3369354567478831,0.2464054425557454,30851.234325953916
ag_news,TF-IDF + LR,0.1,0.8957456140350878,0.0025559302253217,0.895353568257195,0.0025880184281311,3.089272975921631,0.4068978981668087,0.2547629674275715,30005.9547878989
ag_news,TF-IDF + LR,0.25,0.9072368421052632,0.0008217102629471,0.9069516580345328,0.0008485762327452,5.632625579833984,0.75418236337035,0.283222754796346,26910.118584795546
ag_news,TF-IDF + LR,0.5,0.9130263157894736,0.0007326005740565,0.9127841592236516,0.0007457822451626,9.329663594563804,0.551164109589375,0.3103183110555013,25242.002374698528
ag_news,TF-IDF + LR,1.0,0.9207894736842104,0.0,0.920602670741164,0.0,21.266720453898113,2.431664495383713,0.3990053335825602,19173.442960495595
ag_news,TF-IDF + SVM,0.01,0.8356578947368422,0.005077310889888,0.8341164121110839,0.005275588984227,0.0843347708384195,0.011388123239509,0.2467666467030842,30904.551348044373
ag_news,TF-IDF + SVM,0.05,0.8830263157894738,0.0014232439245252,0.8824026634897706,0.0014061207314384,0.4311521053314208,0.0363698899350203,0.2555256684621175,29750.54580415487
ag_news,TF-IDF + SVM,0.1,0.8947368421052632,0.0016798875440531,0.8942379124206218,0.0017232576808372,0.909839391708374,0.0395780785663901,0.2870670954386393,26576.98762151003
ag_news,TF-IDF + SVM,0.25,0.9066666666666666,0.0006077371254628,0.9063055077420504,0.0006391035835274,2.6567975680033364,0.2465261337202042,0.3157480557759602,24993.884151758975
ag_news,TF-IDF + SVM,0.5,0.914342105263158,0.0002279014220485,0.9140640152485418,0.000233685427236,6.846943616867065,0.1629063097223819,0.3011840184529622,25552.404559115446
ag_news,TF-IDF + SVM,1.0,0.9213157894736842,0.0,0.9210702063236408,0.0,14.701855341593424,0.4602741338345134,0.3494885762532552,21843.54719060137
imdb,TF-IDF + LR,0.01,0.8042666666666666,0.0047999999999999,0.8040344906493075,0.0047275155583298,0.0762442747751871,0.0119741065458337,0.7563495635986328,9918.358907951546
imdb,TF-IDF + LR,0.05,0.8280444444444445,0.003568587229537,0.8276858776272252,0.0036846479006873,1.3300920327504475,0.0874112570958385,0.8430915673573812,8960.589491846562
imdb,TF-IDF + LR,0.1,0.8382666666666667,0.0001333333333333,0.8379768461830133,0.0001079362734217,1.4705865383148191,0.0043021405673692,0.7556596597035726,9925.195639003832
imdb,TF-IDF + LR,0.25,0.8536888888888888,0.0017196037441914,0.853533521552424,0.0017495814191355,2.119456132253011,0.1384151793263029,0.7874612808227539,9581.453879854556
imdb,TF-IDF + LR,0.5,0.8643111111111111,0.0016671110518676,0.8642185748702008,0.0016614384718366,3.4619184335072837,0.3311568365144252,0.7614483038584391,9851.290399931442
imdb,TF-IDF + LR,1.0,0.8764,0.0,0.8763498782857742,0.0,5.509172439575195,0.5358302514596941,0.8246470292409261,9207.719482906963
imdb,TF-IDF + SVM,0.01,0.8052444444444444,0.0052022787030015,0.8050850662547885,0.0051151587651639,0.0994658470153808,0.0074987733551407,1.03493865331014,7248.57040163026
imdb,TF-IDF + SVM,0.05,0.8523999999999999,0.0040683056806379,0.8523399661932709,0.0040409168667903,0.5994813442230225,0.0338214611905458,1.129293441772461,6715.486406472734
imdb,TF-IDF + SVM,0.1,0.870488888888889,0.0015907137927265,0.8704603340632427,0.0015910681182768,1.3171826998392742,0.0647331160154789,1.1499873797098796,6522.092289103794
imdb,TF-IDF + SVM,0.25,0.8852000000000001,0.0014422205101855,0.8851909132530599,0.0014373533234995,3.700671037038167,0.2305633100240596,1.2372270425160723,6069.4965648827565
imdb,TF-IDF + SVM,0.5,0.8966222222222222,0.0012024666007528,0.8966172231904576,0.0012047016481311,7.359881083170573,0.1494047743394344,1.2366570631663003,6078.648080824026
imdb,TF-IDF + SVM,1.0,0.9050666666666668,0.0,0.905064479352271,0.0,17.338972409566242,2.5885564393001963,1.3941662311553955,5382.969261111287
