dataset,model_type,C,max_features,ngram_range,val_accuracy,val_macro_f1,train_time
imdb,svm,1.0,50000,"(1, 2)",0.8983957219251337,0.8983887408547544,18.060000896453857
imdb,svm,0.1,50000,"(1, 2)",0.8970588235294118,0.8970217111188302,21.372085094451904
imdb,svm,0.1,50000,"(1, 1)",0.8935828877005347,0.8935455956288842,5.192907094955444
imdb,svm,0.1,10000,"(1, 2)",0.8919786096256684,0.8919469683707317,17.505218029022217
imdb,svm,1.0,50000,"(1, 1)",0.8914438502673797,0.8914363915448165,4.739833116531372
imdb,svm,0.1,10000,"(1, 1)",0.8911764705882353,0.8911394173958522,5.298468828201294
imdb,svm,1.0,10000,"(1, 2)",0.8846256684491979,0.8846207171770344,17.68698000907898
imdb,svm,10.0,50000,"(1, 2)",0.8842245989304813,0.8842239284893911,20.218116998672485
imdb,svm,1.0,10000,"(1, 1)",0.8824866310160427,0.8824802772248028,5.4459450244903564
imdb,svm,10.0,50000,"(1, 1)",0.8731283422459893,0.8731273422380881,7.176007032394409
imdb,svm,10.0,10000,"(1, 2)",0.8537433155080214,0.8537428031540332,18.235090255737305
imdb,svm,10.0,10000,"(1, 1)",0.8529411764705882,0.8529410082541774,5.735424041748047
